Label,Cluster,Color,PassOne,PassOneCol
sp_P14550.3_AK1A1.HUMAN,6,#8b0000,6,#8b0000
sp_O60218.2_AK1BA.HUMAN,6,#8b0000,6,#8b0000
sp_C9JRZ8.2_AK1BF.HUMAN,6,#8b0000,6,#8b0000
sp_P15121.3_ALDR.HUMAN,6,#8b0000,6,#8b0000
sp_Q96JD6.2_AKCL2.HUMAN,6,#8b0000,6,#8b0000
sp_A0PJE2.2_DHR12.HUMAN,7,#808000,7,#808000
sp_Q9HBH5.1_RDH14.HUMAN,7,#808000,7,#808000
sp_Q6UX07.1_DHR13.HUMAN,7,#808000,7,#808000
sp_Q8TC12.2_RDH11.HUMAN,7,#808000,7,#808000
sp_Q96NR8.3_RDH12.HUMAN,7,#808000,7,#808000
sp_Q8NBN7.2_RDH13.HUMAN,7,#808000,7,#808000
sp_Q8N5I4.2_DHRSX.HUMAN,7,#808000,7,#808000
sp_O75828.3_CBR3.HUMAN,7,#808000,7,#808000
sp_P16152.3_CBR1.HUMAN,7,#808000,7,#808000
sp_Q8NEX9.1_DR9C7.HUMAN,8,#483d8b,8,#483d8b
sp_O14756.1_H17B6.HUMAN,8,#483d8b,8,#483d8b
sp_O75452.2_RDH16.HUMAN,8,#483d8b,8,#483d8b
sp_Q92781.1_RDH5.HUMAN,8,#483d8b,8,#483d8b
sp_Q9BPW9.1_DHRS9.HUMAN,8,#483d8b,8,#483d8b
sp_Q02338.3_BDH.HUMAN,8,#483d8b,8,#483d8b
sp_P80365.2_DHI2.HUMAN,8,#483d8b,8,#483d8b
sp_P21695.4_GPDA.HUMAN,9,#008080,9,#008080
sp_Q8N335.1_GPD1L.HUMAN,9,#008080,9,#008080
sp_Q330K2.2_NDUF6.HUMAN,9,#008080,9,#008080
sp_A6ND91.2_ASPDH.HUMAN,9,#008080,9,#008080
sp_O43766.3_LIAS.HUMAN,9,#008080,9,#008080
sp_Q9UQ10.1_DHDH.HUMAN,9,#008080,9,#008080
sp_P08574.3_CY1.HUMAN,10,#b8860b,10,#b8860b
sp_P50213.1_IDH3A.HUMAN,10,#b8860b,10,#b8860b
sp_P51553.1_IDH3G.HUMAN,10,#b8860b,10,#b8860b
sp_O43837.2_IDH3B.HUMAN,10,#b8860b,10,#b8860b
sp_Q9BUP3.2_HTAI2.HUMAN,11,#4682b4,11,#4682b4
sp_Q8N3J5.1_PPM1K.HUMAN,11,#4682b4,11,#4682b4
sp_P56937.1_DHB7.HUMAN,11,#4682b4,11,#4682b4
sp_P21912.3_SDHB.HUMAN,11,#4682b4,11,#4682b4
sp_Q9UKU7.1_ACAD8.HUMAN,12,#d2691e,12,#d2691e
sp_P16219.1_ACADS.HUMAN,12,#d2691e,12,#d2691e
sp_P11310.1_ACADM.HUMAN,12,#d2691e,12,#d2691e
sp_Q92947.1_GCDH.HUMAN,12,#d2691e,12,#d2691e
sp_P45954.1_ACDSB.HUMAN,12,#d2691e,12,#d2691e
sp_P26440.2_IVD.HUMAN,12,#d2691e,12,#d2691e
sp_P28330.2_ACADL.HUMAN,12,#d2691e,12,#d2691e
sp_P16083.5_NQO2.HUMAN,13.0,#9acd32,13,#9acd32
sp_P15559.1_NQO1.HUMAN,13.0,#9acd32,13,#9acd32
sp_P11177.3_ODPB.HUMAN,13.0,#9acd32,13,#9acd32
sp_P21953.2_ODBB.HUMAN,13.0,#9acd32,13,#9acd32
sp_Q9BRQ8.1_FSP1.HUMAN,13.0,#9acd32,13,#9acd32
sp_Q9NTG7.2_SIR3.HUMAN,13.0,#9acd32,13,#9acd32
sp_Q9Y6N5.1_SQOR.HUMAN,13.0,#9acd32,13,#9acd32
sp_Q6ZMR3.1_LDH6A.HUMAN,14,#32cd32,14,#32cd32
sp_Q9BYZ2.3_LDH6B.HUMAN,14,#32cd32,14,#32cd32
sp_P07864.4_LDHC.HUMAN,14,#32cd32,14,#32cd32
sp_P00338.2_LDHA.HUMAN,14,#32cd32,14,#32cd32
sp_P07195.2_LDHB.HUMAN,14,#32cd32,14,#32cd32
sp_P13995.2_MTDC.HUMAN,14,#32cd32,14,#32cd32
sp_Q9H903.3_MTD2L.HUMAN,14,#32cd32,14,#32cd32
sp_Q13642.4_FHL1.HUMAN,14,#32cd32,14,#32cd32
sp_P40926.3_MDHM.HUMAN,14,#32cd32,14,#32cd32
sp_O95237.2_LRAT.HUMAN,14,#32cd32,14,#32cd32
sp_Q8N8N7.1_PTGR2.HUMAN,15.0,#8fbc8f,15,#8fbc8f
sp_Q14914.2_PTGR1.HUMAN,15.0,#8fbc8f,15,#8fbc8f
sp_Q9H9P8.3_L2HDH.HUMAN,16,#800080,16,#800080
sp_O43448.2_KCAB3.HUMAN,16,#800080,16,#800080
sp_Q14722.1_KCAB1.HUMAN,16,#800080,16,#800080
sp_Q13303.2_KCAB2.HUMAN,16,#800080,16,#800080
sp_Q9Y375.2_CIA30.HUMAN,16,#800080,16,#800080
sp_O75306.2_NDUS2.HUMAN,17.0,#b03060,17,#b03060
sp_P07738.2_PMGE.HUMAN,17.0,#b03060,17,#b03060
sp_P48507.1_GSH0.HUMAN,17.0,#b03060,17,#b03060
sp_Q9UMS0.2_NFU1.HUMAN,17.0,#b03060,17,#b03060
sp_Q15119.2_PDK2.HUMAN,18,#9932cc,18,#9932cc
sp_Q15120.1_PDK3.HUMAN,18,#9932cc,18,#9932cc
sp_Q15118.1_PDK1.HUMAN,18,#9932cc,18,#9932cc
sp_Q16654.1_PDK4.HUMAN,18,#9932cc,18,#9932cc
sp_O14874.2_BCKD.HUMAN,18,#9932cc,18,#9932cc
sp_Q8N4E7.1_FTMT.HUMAN,35.4,#ff4500,35,#7fffd4
sp_P47985.2_UCRI.HUMAN,35.4,#ff4500,35,#7fffd4
sp_Q9Y2S2.3_CRYL1.HUMAN,35.4,#ff4500,35,#7fffd4
sp_Q8TB37.3_NUBPL.HUMAN,35.4,#ff4500,35,#7fffd4
sp_O95299.1_NDUAA.HUMAN,19.0,#00ced1,19,#00ced1
sp_Q9Y394.1_DHRS7.HUMAN,35.3,#ff8c00,35,#7fffd4
sp_P52895.3_AK1C2.HUMAN,20,#ffd700,20,#ffd700
sp_Q04828.1_AK1C1.HUMAN,20,#ffd700,20,#ffd700
sp_P42330.4_AK1C3.HUMAN,20,#ffd700,20,#ffd700
sp_P17516.3_AK1C4.HUMAN,20,#ffd700,20,#ffd700
sp_P51857.1_AK1D1.HUMAN,20,#ffd700,20,#ffd700
sp_Q9H171.2_ZBP1.HUMAN,35.2,#0000cd,35,#7fffd4
sp_Q8WWV3.2_RT4I1.HUMAN,21,#deb887,21,#deb887
sp_P40925.4_MDHC.HUMAN,21,#deb887,21,#deb887
sp_Q16795.2_NDUA9.HUMAN,21,#deb887,21,#deb887
sp_Q8IZJ6.1_TDH.HUMAN,21,#deb887,21,#deb887
sp_Q8NBM4.1_UBAC2.HUMAN,21,#deb887,21,#deb887
sp_P37059.1_DHB2.HUMAN,21,#deb887,21,#deb887
sp_O95825.2_QORL1.HUMAN,21,#deb887,21,#deb887
sp_Q8IWW8.1_HOT.HUMAN,35.1,#00ff00,35,#7fffd4
sp_Q53FA7.2_QORX.HUMAN,22,#00fa9a,22,#00fa9a
sp_Q8N4Q0.1_PTGR3.HUMAN,22,#00fa9a,22,#00fa9a
sp_O43488.3_ARK72.HUMAN,22,#00fa9a,22,#00fa9a
sp_Q8NHP1.7_ARK74.HUMAN,22,#00fa9a,22,#00fa9a
sp_O95154.2_ARK73.HUMAN,22,#00fa9a,22,#00fa9a
sp_P36957.4_ODO2.HUMAN,32.3,#dc143c,32,#6495ed
sp_Q16836.3_HCDH.HUMAN,32.3,#dc143c,32,#6495ed
sp_O75344.1_FKBP6.HUMAN,32.3,#dc143c,32,#6495ed
sp_P08559.3_ODPA.HUMAN,23.0,#00bfff,23,#00bfff
sp_O14556.2_G3PT.HUMAN,32.2,#f4a460,32,#6495ed
sp_P04406.3_G3P.HUMAN,32.2,#f4a460,32,#6495ed
sp_P48448.3_AL3B2.HUMAN,24,#0000ff,24,#0000ff
sp_P30838.3_AL3A1.HUMAN,24,#0000ff,24,#0000ff
sp_Q9NZ01.1_TECR.HUMAN,24,#0000ff,24,#0000ff
sp_Q08257.1_QOR.HUMAN,32.1,#a020f0,32,#6495ed
sp_Q9BV79.2_MECR.HUMAN,32.1,#a020f0,32,#6495ed
sp_Q14994.2_NR1I3.HUMAN,25,#adff2f,25,#adff2f
sp_Q03181.1_PPARD.HUMAN,25,#adff2f,25,#adff2f
sp_P11474.3_ERR1.HUMAN,25,#adff2f,25,#adff2f
sp_P19793.1_RXRA.HUMAN,25,#adff2f,25,#adff2f
sp_Q13363.2_CTBP1.HUMAN,26,#ff6347,26,#ff6347
sp_P56545.1_CTBP2.HUMAN,26,#ff6347,26,#ff6347
sp_Q9UBQ7.1_GRHPR.HUMAN,26,#ff6347,26,#ff6347
sp_Q7L592.1_NDUF7.HUMAN,26,#ff6347,26,#ff6347
sp_P22695.3_QCR2.HUMAN,26,#ff6347,26,#ff6347
sp_Q9NRN7.2_ADPPT.HUMAN,26,#ff6347,26,#ff6347
sp_Q8IXQ9.1_ETKMT.HUMAN,27,#da70d6,27,#da70d6
sp_P03891.2_NU2M.HUMAN,27,#da70d6,27,#da70d6
sp_Q9Y6E7.1_SIR4.HUMAN,27,#da70d6,27,#da70d6
sp_Q9NRG7.3_D39U1.HUMAN,28,#b0c4de,28,#b0c4de
sp_Q02127.3_PYRD.HUMAN,28,#b0c4de,28,#b0c4de
sp_P31213.2_S5A2.HUMAN,28,#b0c4de,28,#b0c4de
sp_P18405.1_S5A1.HUMAN,28,#b0c4de,28,#b0c4de
sp_Q8NBX0.1_SCPDL.HUMAN,28,#b0c4de,28,#b0c4de
sp_Q53GQ0.2_DHB12.HUMAN,29,#ff00ff,29,#ff00ff
sp_P37058.2_DHB3.HUMAN,29,#ff00ff,29,#ff00ff
sp_P00414.2_COX3.HUMAN,29,#ff00ff,29,#ff00ff
sp_Q3SXM5.3_HSDL1.HUMAN,29,#ff00ff,29,#ff00ff
sp_P03905.1_NU4M.HUMAN,30,#f0e68c,30,#f0e68c
sp_P03886.1_NU1M.HUMAN,30,#f0e68c,30,#f0e68c
sp_P00403.1_COX2.HUMAN,30,#f0e68c,30,#f0e68c
sp_Q7Z4W1.2_DCXR.HUMAN,31,#fa8072,31,#fa8072
sp_Q6UWP2.1_DHR11.HUMAN,31,#fa8072,31,#fa8072
sp_P15428.1_PGDH.HUMAN,31,#fa8072,31,#fa8072
sp_P29803.1_ODPAT.HUMAN,23.2,#ffff54,23,#00bfff
sp_P56705.4_WNT4.HUMAN,32.0,#6495ed,32,#6495ed
sp_P12694.2_ODBA.HUMAN,23.1,#dda0dd,23,#00bfff
sp_Q99714.3_HCD2.HUMAN,33,#90ee90,33,#90ee90
sp_Q92506.2_DHB8.HUMAN,33,#90ee90,33,#90ee90
sp_Q8N4T8.3_CBR4.HUMAN,33,#90ee90,33,#90ee90
sp_Q9BUT1.2_DHRS6.HUMAN,33,#90ee90,33,#90ee90
sp_P19404.2_NDUV2.HUMAN,34,#7b68ee,34,#7b68ee
sp_Q6NVY1.2_HIBCH.HUMAN,34,#7b68ee,34,#7b68ee
sp_Q9H8P0.1_PORED.HUMAN,34,#7b68ee,34,#7b68ee
sp_Q8WUS8.2_D42E1.HUMAN,19.3,#afeeee,19,#00ced1
sp_A6NKP2.3_D42E2.HUMAN,19.3,#afeeee,19,#00ced1
sp_Q9Y234.1_LIPT.HUMAN,35.0,#7fffd4,35,#7fffd4
sp_Q9HBL8.1_NMRL1.HUMAN,19.2,#ff69b4,19,#00ced1
sp_P48735.2_IDHP.HUMAN,36,#ffb6c1,36,#ffb6c1
sp_O75874.2_IDHC.HUMAN,36,#ffb6c1,36,#ffb6c1
sp_Q14894.1_CRYM.HUMAN,36,#ffb6c1,36,#ffb6c1
sp_P09417.2_DHPR.HUMAN,36,#ffb6c1,36,#ffb6c1
sp_P14060.2_3BHS1.HUMAN,19.1,#2f4f4f,19,#00ced1
sp_P26439.2_3BHS2.HUMAN,19.1,#2f4f4f,19,#00ced1
sp_Q9H2F3.2_3BHS7.HUMAN,19.1,#2f4f4f,19,#00ced1
sp_Q15738.2_NSDHL.HUMAN,19.1,#2f4f4f,19,#00ced1
sp_Q96LJ7.1_DHRS1.HUMAN,37,#556b2f,37,#556b2f
sp_Q6YN16.1_HSDL2.HUMAN,37,#556b2f,37,#556b2f
sp_Q9BPX1.1_DHB14.HUMAN,37,#556b2f,37,#556b2f
sp_Q9NUI1.1_DECR2.HUMAN,37,#556b2f,37,#556b2f
sp_Q16698.1_DECR.HUMAN,37,#556b2f,37,#556b2f
sp_Q9BY49.2_PECR.HUMAN,37,#556b2f,37,#556b2f
sp_Q9H2D1.2_S2532.HUMAN,38,#8b4513,38,#8b4513
sp_P78417.2_GSTO1.HUMAN,38,#8b4513,38,#8b4513
sp_Q9H4Y5.1_GSTO2.HUMAN,38,#8b4513,38,#8b4513
sp_Q8IWL3.3_HSC20.HUMAN,38,#8b4513,38,#8b4513
sp_P49821.4_NDUV1.HUMAN,17.1,#2e8b57,17,#b03060
sp_P07098.1_LIPF.HUMAN,17.1,#2e8b57,17,#b03060
sp_Q9NZD8.1_SPG21.HUMAN,17.1,#2e8b57,17,#b03060
sp_Q9NZC7.1_WWOX.HUMAN,17.1,#2e8b57,17,#b03060
sp_Q9BQ95.1_ECSIT.HUMAN,17.1,#2e8b57,17,#b03060
sp_O96008.1_TOM40.HUMAN,15.2,#228b22,15,#8fbc8f
sp_P51572.3_BAP31.HUMAN,15.2,#228b22,15,#8fbc8f
sp_P31937.2_3HIDH.HUMAN,15.1,#708090,15,#8fbc8f
sp_P13804.1_ETFA.HUMAN,13.1,#8b0000,13,#9acd32
sp_P28845.3_DHI1.HUMAN,4.2,#808000,4,#228b22
sp_Q7Z5J1.1_DHI1L.HUMAN,4.2,#808000,4,#228b22
sp_Q6IAN0.2_DRS7B.HUMAN,4.1,#483d8b,4,#228b22
sp_A6NNS2.3_DRS7C.HUMAN,4.1,#483d8b,4,#228b22
sp_Q06136.1_KDSR.HUMAN,4.1,#483d8b,4,#228b22
